GAME.#,POSS.#,PLAY.ID,SHOT.CLOCK.THIRD,SHOT.TYPE,CONTESTED?,PAINT.TOUCH,CAUSE.OF.PAINT,PAINT.ATTACKER,DEFENDER-ATTACKER,PLAY.RESULT,POINT.RESULT
23,49,60,:10 - :00,Layup,TRUE,TRUE,Perimeter Drive,20 Jericho Sims,Opponent-Big,Missed 2,0
23,50,61,:10 - :00,Layup,TRUE,TRUE,Cut,3 Courtney Ramey,Opponent-Big,Missed 2,0
23,51,62,:10 - :00,Off-the-dribble (3),FALSE,FALSE,N/A,N/A,N/A,Made 3,3
23,52,63,:30 - :21,Catch-and-shoot,TRUE,FALSE,N/A,N/A,N/A,Missed 3,0
23,53,64,:10 - :00,Off-the-dribble (3),TRUE,FALSE,N/A,N/A,N/A,Made 3,3
23,54,65,:10 - :00,Floater/Runner,TRUE,TRUE,Perimeter Drive,3 Courtney Ramey,Opponent-Guard,Missed 2,0
23,55,66,:20 - :11,N/A,N/A,FALSE,N/A,N/A,N/A,Floor Foul,0
23,55,67,:10 - :00,Layup,TRUE,TRUE,Perimeter Drive,1 Andrew Jones,Opponent-Guard,Made 2,2
23,56,68,:30 - :21,N/A,N/A,TRUE,P&R Ball Handler,2 Matt Coleman III,Opponent-Guard,Turnover,0
23,57,69,:20 - :11,Dunk,FALSE,TRUE,P&R Roll Man,20 Jericho Sims,N/A,Assisted 2,2
23,58,70,:10 - :00,Catch-and-shoot,TRUE,TRUE,Post-up (inside paint),20 Jericho Sims,Opponent-Big,Missed 3,0
23,59,71,:20 - :11,Layup,TRUE,TRUE,Perimeter Drive,3 Courtney Ramey,Opponent-Guard,Missed 2,0
23,59,72,:20 - :11,Tip,TRUE,TRUE,Offensive Rebound,4 Greg Brown,Opponent-Big,Missed 2,0
23,60,73,:10 - :00,Dunk,TRUE,TRUE,P&R Ball Handler,3 Courtney Ramey,Opponent-Big,Assisted 2,2
23,61,74,:10 - :00,Off-the-dribble (2),TRUE,FALSE,N/A,N/A,N/A,Made 2,2
23,62,75,No Shot Clock,Free Throws,N/A,FALSE,N/A,N/A,N/A,Floor Foul (Bonus),2
24,1,1,:20 - :11,Layup,FALSE,TRUE,P&R Ball Handler,2 Matt Coleman III,Opponent-Guard,Made 2,2
24,2,2,:30 - :21,Off-the-dribble (2),TRUE,FALSE,N/A,N/A,N/A,Made 2,2
24,3,3,:10 - :00,N/A,N/A,TRUE,Perimeter Drive,3 Courtney Ramey,Opponent-Guard,Turnover,0
24,4,4,:20 - :11,Dunk,FALSE,TRUE,Perimeter Drive,4 Greg Brown,Opponent-Big,Assisted 2,2
24,5,5,:30 - :21,Dunk,FALSE,TRUE,Cut,4 Greg Brown,Opponent-Big,Assisted 2,2
24,6,6,:20 - :11,Catch-and-shoot,TRUE,FALSE,N/A,N/A,N/A,Assisted 3,3
24,7,7,:10 - :00,Off-the-dribble (2),TRUE,FALSE,N/A,N/A,N/A,Missed 2,0
24,8,8,:30 - :21,Catch-and-shoot,TRUE,FALSE,N/A,N/A,N/A,Missed 3,0
24,9,9,:30 - :21,N/A,N/A,TRUE,Transition,22 Kai Jones,Opponent-Guard,Floor Foul,0
24,9,10,:30 - :21,Catch-and-shoot,FALSE,FALSE,N/A,N/A,N/A,Missed 2,0
24,10,11,:30 - :21,Off-the-dribble (2),TRUE,TRUE,P&R Ball Handler,1 Andrew Jones,Opponent-Guard,Missed 2,0
24,11,12,:30 - :21,N/A,TRUE,TRUE,Transition,22 Kai Jones,Opponent-Guard,Made 2,2
24,12,13,:30 - :21,Layup,TRUE,TRUE,Transition,2 Matt Coleman III,Opponent-Guard,Missed 2,0
24,13,14,:30 - :21,Dunk,FALSE,TRUE,Transition,1 Andrew Jones,Opponent-Big,Assisted 2,2
24,14,15,:20 - :11,Catch-and-shoot,FALSE,TRUE,Perimeter Drive,22 Kai Jones,Opponent-Big,Missed 3,0
24,14,16,:20 - :11,Dunk,FALSE,TRUE,Perimeter Drive,2 Matt Coleman III,Opponent-Guard,Assisted 2,2
24,15,17,:30 - :21,Hook (Post),TRUE,TRUE,Cut,22 Kai Jones,Opponent-Big,Missed 2,0
24,15,18,:20 - :11,N/A,N/A,FALSE,N/A,N/A,N/A,Floor Foul,0
